model,target,split,scope,mse,mae
lstm,exact,train,overall,0.0010490984423086047,0.02298811264336109
lstm,exact,train,d=1,0.0004203621647320688,
lstm,exact,train,d=2,0.0007104016258381307,
lstm,exact,train,d=3,0.001057507237419486,
lstm,exact,train,d=4,0.0013813147088512778,
lstm,exact,train,d=5,0.001675907289609313,
lstm,exact,val,overall,0.0005167400231584907,0.01681617833673954
lstm,exact,val,d=1,0.0002125516621163115,
lstm,exact,val,d=2,0.0003838773409370333,
lstm,exact,val,d=3,0.000515506777446717,
lstm,exact,val,d=4,0.000669903471134603,
lstm,exact,val,d=5,0.0008018608205020428,
lstm,exact,test,overall,0.0009412657236680388,0.020616846159100533
lstm,exact,test,d=1,0.00030497825355269015,
lstm,exact,test,d=2,0.0006118235760368407,
lstm,exact,test,d=3,0.0009825486922636628,
lstm,exact,test,d=4,0.0012709518196061254,
lstm,exact,test,d=5,0.0015360275283455849,
lstm,rolling,train,overall,0.0005796832265332341,0.016354167833924294
lstm,rolling,train,d=1,0.00011925073340535164,
lstm,rolling,train,d=2,0.0002467310114298016,
lstm,rolling,train,d=3,0.0005163747118785977,
lstm,rolling,train,d=4,0.0008491668268106878,
lstm,rolling,train,d=5,0.0011668931692838669,
lstm,rolling,val,overall,0.000288003240711987,0.011970054358243942
lstm,rolling,val,d=1,5.652424442814663e-05,
lstm,rolling,val,d=2,0.00013072567526251078,
lstm,rolling,val,d=3,0.0002626500790938735,
lstm,rolling,val,d=4,0.0004237539251334965,
lstm,rolling,val,d=5,0.0005663625779561698,
lstm,rolling,test,overall,0.0005254045827314258,0.014655610546469688
lstm,rolling,test,d=1,7.391851249849424e-05,
lstm,rolling,test,d=2,0.00019872606208082289,
lstm,rolling,test,d=3,0.00047143761184997857,
lstm,rolling,test,d=4,0.0007920979405753314,
lstm,rolling,test,d=5,0.0010908428812399507,
gru,exact,train,overall,0.0010514650493860245,0.02299550734460354
gru,exact,train,d=1,0.0004160543903708458,
gru,exact,train,d=2,0.000712792098056525,
gru,exact,train,d=3,0.0010611888719722629,
gru,exact,train,d=4,0.0013932185247540474,
gru,exact,train,d=5,0.0016740707214921713,
gru,exact,val,overall,0.000514575804118067,0.016781918704509735
gru,exact,val,d=1,0.0002109014749294147,
gru,exact,val,d=2,0.0003831705544143915,
gru,exact,val,d=3,0.0005113106453791261,
gru,exact,val,d=4,0.0006672476301901042,
gru,exact,val,d=5,0.0008002487011253834,
gru,exact,test,overall,0.0009407282923348248,0.020634977146983147
gru,exact,test,d=1,0.00030360851087607443,
gru,exact,test,d=2,0.0006111884140409529,
gru,exact,test,d=3,0.0009816575329750776,
gru,exact,test,d=4,0.0012727832654491067,
gru,exact,test,d=5,0.0015344038838520646,
gru,rolling,train,overall,0.000580123218242079,0.016306690871715546
gru,rolling,train,d=1,0.00011448012082837522,
gru,rolling,train,d=2,0.00024658837355673313,
gru,rolling,train,d=3,0.0005184393958188593,
gru,rolling,train,d=4,0.0008534740773029625,
gru,rolling,train,d=5,0.0011676313588395715,
gru,rolling,val,overall,0.0002863895788323134,0.011878356337547302
gru,rolling,val,d=1,5.395956031861715e-05,
gru,rolling,val,d=2,0.00013016904995311052,
gru,rolling,val,d=3,0.0002620493178255856,
gru,rolling,val,d=4,0.00042105757165700197,
gru,rolling,val,d=5,0.0005647122161462903,
gru,rolling,test,overall,0.0005235711578279734,0.014601984061300755
gru,rolling,test,d=1,7.043311052257195e-05,
gru,rolling,test,d=2,0.0001972036116058007,
gru,rolling,test,d=3,0.00047196875675581396,
gru,rolling,test,d=4,0.0007909644627943635,
gru,rolling,test,d=5,0.0010872846469283104,
